WorkspaceId,UserName,BundleId,IpAddress,ComputerName,State,RunningMode,Region,LastConnectionTime,DaysSinceLastLogin
ws-cgxcz5vg4,lgoldman1,wsb-fnq7j7gpl,10.151.65.186,EC2AMAZ-45U275C,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-92b3lpkj2,mlakin,wsb-fnq7j7gpl,10.151.64.200,EC2AMAZ-V2HTFOU,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-fy9mtn9t7,esmart,wsb-1ytmbgt44,10.151.65.26,VDICHWY-D4CBTDH,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-x1hw9fx07,ssandberg,wsb-1ytmbgt44,10.151.67.17,VDICHWY-63LKFV5,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-k7ys98w6d,vgonzales,wsb-fnq7j7gpl,10.151.66.188,EC2AMAZ-BQE823L,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-vwpp4kk23,wisuhuayla,wsb-1ytmbgt44,10.151.70.178,VDICHWY-EV2G1M2,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-8nrfkjv5j,dmayo3,wsb-1ytmbgt44,10.151.72.73,VDICHWY-17NCFOK,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-k5f2dvb7s,rtowle,wsb-1ytmbgt44,10.151.79.156,VDICHWY-6SKJRPE,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-9fyr2wctk,arose14,wsb-1ytmbgt44,10.151.65.149,VDICHWY-D5QTPSP,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-b9n2trd1c,cwatson4,wsb-fnq7j7gpl,10.151.65.241,EC2AMAZ-EIQJC1I,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-fmzs4sw9r,jmoll,wsb-1ytmbgt44,10.151.68.119,VDICHWY-SV9GP6D,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-xjv40lc6h,tstuart1,wsb-1ytmbgt44,10.151.65.70,VDICHWY-5BIT10J,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-4dt2p4l3j,ckeller4,wsb-1ytmbgt44,10.151.79.230,VDICHWY-9DPVVI7,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-fkd7kn5rr,desparza1,wsb-fnq7j7gpl,10.151.68.86,EC2AMAZ-F9IA84I,STOPPED,AUTO_STOP,us-west-2,No login registered, 
